"Reporting starts","Reporting ends","Ad name",Age,Gender,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,male,inactive,11,actions:post_interaction_gross,636.45454545,30000,Daily,7001,1584,1558,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00706033,531,,,1.016688,0,531,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,unknown,inactive,,,,30000,Daily,72,12,12,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,6,,,1,0,6,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,female,inactive,11,actions:post_interaction_gross,1240.81818182,30000,Daily,13649,2233,2177,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00505282,1002,,,1.025723,0,1002,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,male,inactive,44,actions:post_interaction_gross,1164,30000,Daily,51216,10663,10331,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00416223,4423,,,1.032136,0,4423,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,unknown,inactive,1,actions:post_interaction_gross,311,30000,Daily,311,54,54,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.01851852,23,,,1,0,23,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,female,inactive,13,actions:post_interaction_gross,1190.76923077,30000,Daily,15480,2185,2150,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.0055814,1342,,,1.016279,0,1342,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,male,inactive,20,actions:post_interaction_gross,3026.4,30000,Daily,60528,11543,10806,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00175828,6375,,,1.068203,0,6375,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,unknown,inactive,,,,30000,Daily,149,27,27,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,15,,,1,0,15,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,female,inactive,9,actions:post_interaction_gross,2025.66666667,30000,Daily,18231,2582,2523,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00356718,1721,,,1.023385,0,1721,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,male,inactive,14,actions:post_interaction_gross,2613.35714286,30000,Daily,36587,6008,5784,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00242047,3898,,,1.038728,0,3898,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,unknown,inactive,1,actions:post_interaction_gross,122,30000,Daily,122,22,22,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.04545455,15,,,1,0,15,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,female,inactive,6,actions:post_interaction_gross,2244.5,30000,Daily,13467,1627,1584,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00315657,1260,,,1.027146,0,1260,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,male,inactive,8,actions:post_interaction_gross,2021.25,30000,Daily,16170,2126,2022,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00395648,1545,,,1.051434,0,1545,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,unknown,inactive,,,,30000,Daily,35,8,6,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,6,,,1.333333,0,6,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,female,inactive,7,actions:post_interaction_gross,868.85714286,30000,Daily,6082,716,671,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00894188,532,,,1.067064,0,532,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,male,inactive,5,actions:post_interaction_gross,1841.6,30000,Daily,9208,1319,1292,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00309598,840,,,1.020898,0,840,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,unknown,inactive,,,,30000,Daily,19,3,3,Ongoing,"7-day click or 1-day view",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,2,,,1,0,2,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,female,not_delivering,91,reach,1395.6043956,30000,Daily,127,94,91,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.032967,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,male,not_delivering,404,reach,1467.82178218,30000,Daily,593,421,404,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.042079,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,female,not_delivering,158,reach,1430.37974684,30000,Daily,226,162,158,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.025316,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,male,not_delivering,1207,reach,1370.33968517,30000,Daily,1654,1215,1207,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.0008285,1,,,1.006628,0,1,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,unknown,not_delivering,8,reach,1500,30000,Daily,12,8,8,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,female,not_delivering,130,reach,1292.30769231,30000,Daily,168,130,130,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,male,not_delivering,789,reach,1429.65779468,30000,Daily,1128,819,789,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.038023,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,unknown,not_delivering,3,reach,1333.33333333,30000,Daily,4,3,3,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,female,not_delivering,122,reach,1262.29508197,30000,Daily,154,122,122,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,male,not_delivering,636,reach,1371.06918239,30000,Daily,872,643,636,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.011006,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,unknown,not_delivering,1,reach,1000,30000,Daily,1,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,female,not_delivering,52,reach,1307.69230769,30000,Daily,68,52,52,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,male,not_delivering,255,reach,1325.49019608,30000,Daily,338,256,255,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.003922,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",55-64,unknown,not_delivering,2,reach,1000,30000,Daily,2,2,2,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,female,not_delivering,32,reach,1437.5,30000,Daily,46,32,32,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",65+,male,not_delivering,174,reach,1339.08045977,30000,Daily,233,176,174,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,1,,,1.011494,0,1,,
