"Awal pelaporan","Akhir pelaporan","Nama iklan",Platform,Penempatan,"Platform Perangkat","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories",Desktop,inactive,,,,30000,Harian,14,8,8,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1,,,1,0,1,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories","Di aplikasi",inactive,,,,30000,Harian,1889,51,51,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,41,,,1,0,41,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Instagram,"Instagram Stories","Web Seluler",inactive,,,,30000,Harian,3,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk","Tanpa Kategori","Tanpa Kategori","Tanpa Kategori",inactive,,,,30000,Harian,0,0,0,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",,73,,,0,0,73,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Reels","Di aplikasi",not_delivering,1078,reach,1427.64378479,30000,Harian,1539,1085,1078,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.006494,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Iklan di Facebook Reels","Di aplikasi",not_delivering,860,reach,1240.69767442,30000,Harian,1067,862,860,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.002326,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Stories","Di aplikasi",not_delivering,23,reach,1173.91304348,30000,Harian,27,23,23,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,Desktop,not_delivering,6,reach,1666.66666667,30000,Harian,10,7,6,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.166667,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,"Di aplikasi",not_delivering,1184,reach,1367.39864865,30000,Harian,1619,1212,1184,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00084459,2,,,1.023649,0,2,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,"Web Seluler",not_delivering,13,reach,1461.53846154,30000,Harian,19,13,13,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Reels in-stream","Di aplikasi",not_delivering,67,reach,1462.68656716,30000,Harian,98,67,67,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,Desktop,not_delivering,1,reach,2000,30000,Harian,2,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Marketplace,"Di aplikasi",not_delivering,49,reach,1489.79591837,30000,Harian,73,51,49,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.040816,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,Kabar,"Di aplikasi",not_delivering,130,reach,1446.15384615,30000,Harian,188,130,130,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Reels Instagram","Di aplikasi",not_delivering,639,reach,1438.18466354,30000,Harian,919,639,639,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Instagram,"Instagram Stories","Di aplikasi",not_delivering,43,reach,1418.60465116,30000,Harian,61,43,43,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Threads,"Kabar Threads","Di aplikasi",not_delivering,3,reach,1333.33333333,30000,Harian,4,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Kabar profil Facebook","Di aplikasi",inactive,7,reach,1000,50000,Harian,7,7,7,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Reels","Di aplikasi",inactive,81100,reach,2189.82737361,50000,Harian,177595,131700,81100,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00051788,43,1,0.000759,1.623921,0,43,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Iklan di Facebook Reels","Di aplikasi",inactive,4647,reach,1068.86163116,50000,Harian,4967,4647,4647,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,"Facebook Stories","Di aplikasi",inactive,4063,reach,1329.06719173,50000,Harian,5400,4438,4063,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.092296,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,Desktop,inactive,128,reach,1445.3125,50000,Harian,185,134,128,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.046875,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",Facebook,Kabar,"Di aplikasi",inactive,28209,reach,1476.12464107,50000,Harian,41640,30211,28209,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00031905,53,1,0.00331,1.07097,0,53,,
