"Awal pelaporan","Akhir pelaporan","Nama iklan",Usia,"Jenis kelamin","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Tim Kopi atau Teh",25-34,female,not_delivering,2,actions:post_interaction_gross,81.5,30000,Harian,163,4,4,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",25-34,male,not_delivering,2,actions:post_interaction_gross,96,30000,Harian,192,5,4,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,2,,,1.25,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",35-44,male,not_delivering,1,actions:post_interaction_gross,88,30000,Harian,88,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.5,1,,,1,0,1,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",45-54,female,not_delivering,2,actions:post_interaction_gross,16.5,30000,Harian,33,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",65+,female,not_delivering,,,,30000,Harian,32,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,female,inactive,4,actions:post_interaction_gross,677.5,30000,Harian,2710,538,524,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00763359,177,,,1.026718,0,177,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,male,inactive,11,actions:post_interaction_gross,636.45454545,30000,Harian,7001,1584,1558,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00706033,531,,,1.016688,0,531,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",18-24,unknown,inactive,,,,30000,Harian,72,12,12,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,6,,,1,0,6,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,female,inactive,11,actions:post_interaction_gross,1240.81818182,30000,Harian,13649,2233,2177,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00505282,1002,,,1.025723,0,1002,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,male,inactive,44,actions:post_interaction_gross,1164,30000,Harian,51216,10663,10331,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00416223,4423,,,1.032136,0,4423,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",25-34,unknown,inactive,1,actions:post_interaction_gross,311,30000,Harian,311,54,54,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.01851852,23,,,1,0,23,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,female,inactive,13,actions:post_interaction_gross,1190.76923077,30000,Harian,15480,2185,2150,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.0055814,1342,,,1.016279,0,1342,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,male,inactive,20,actions:post_interaction_gross,3026.4,30000,Harian,60528,11543,10806,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00175828,6375,,,1.068203,0,6375,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",35-44,unknown,inactive,,,,30000,Harian,149,27,27,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,15,,,1,0,15,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,female,inactive,9,actions:post_interaction_gross,2025.66666667,30000,Harian,18231,2582,2523,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00356718,1721,,,1.023385,0,1721,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,male,inactive,14,actions:post_interaction_gross,2613.35714286,30000,Harian,36587,6008,5784,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00242047,3898,,,1.038728,0,3898,,
